,drug,drug_name
52834596,ANAT05,*(c)(6)ANapril *TAB. 20 MG.
52834597,HYPT02,*(c)(6)Hypercor Tab 5 mg
52834598,BERT02,*(c)(6)Hyles Tab 25 mg(Spironolactone)
52834599,FURT01,*(c)(6)FuroSemide Tab 40 mg
52834600,EZET01,*(c)(6)Ezetrol Tab 10 mg
52834809,ABIT03,*Off Auto**(d) **Abilify Tab 5 mg                 
52834830,ABIT05,*Off Auto**(d) Abilify Dismelt Tab 10 mg          
52834833,ABIT05,*(c)*(d) Abilify Dismelt Tab 10 mg
52836749,CIPI02,Ciprobay   INJ. *400  mg/200 ml                   
52847522,MXSVGTP40,Gore-tex () 4-5-6-8 mm.40cm Vascul
52852486,CYTI05,Cytarine Inj 1 g/10 ml  (X)C0024*Chemo* *HAD*
52864153,ACT001,Acticoat Ag Size 10cm x 10cm                      
52865571,ANAT02,*(d) Anargil Cap 200 mg                   
52866104,EZET02,*(d) Ezetimibe (sandoz) Tab 10 mg         
52868044,END002,*(d) Endocell for Endometrial sampling    
52870731,CLOI05,*Off Auto**(d) Cloxgen Inj 1 gm (GDH)             
52872458,MXCHDVVVI,Hydra Valve [] /  /
52873321,HYDT05,*(d) Hydroxyzine-FC 10 mg ( Hizin)             
52876829,FLUT04,*(c)Fluimucil-A   600   Tab                       
52876976,ADAT05,*(d) Adalat CR TAB 60 mg                  
52881464,MXSIPPMTM,In. Pact Pacific 0.018 / /              
52882881,DAST02,Dasatinib Tab 50 mg (NHSO/) ED(2)            
52885986,MXOPMTWNV,"PneumaticSP walker / AIR SELECT [Aircast] [S,"
52887080,SPI022,"*(d) Spinal Needle 22G x 3 1/2""           "
52888765,DALT02,*(c)*(d) **Dalacin Cap **300 mg
52888946,MXXNNXTDCF,[UC]N- NXT Detachment cables /            
52891796,NAPT01,"Naproxen 250 mg ( , SMI=Naproxen)"
52895795,MXEYSA6022,SA 60  wf 22.0 Intraocular lens /     
52896504,ABAT01,*(d) Abacavir Tab 300 mg (-) (NAP-Ped)
52904816,TAFE01,*(d) Taflotan 0.0015% oph soln-2.5ml      
52904819,TAFE02,*(d) Taflotan-S 0.3 ml PF (0.0015%) l(
52905858,D5SI07,*(d) D-5-S/2 1000 ml                      
52913599,ALT002,*(d) Alterna base plate 60mm [Colostomy]  
52913649,INNI02,"*(d) Innohep PFS 0.5 ml (10,000 IU/0.5ml)         "
52913653,MECT01,*(d) Mecoba Tablet 500 mcg                        
52913764,LCDEX2,*(d) LCD 5% in TA Cream 5 g          
52919318,MXEYTFZ225,Tecnis ZA9003 22.5 Intraocular lens /
52919362,AUGT03,*(d) Augmentin Tab 1 g                    
52922040,MERT06,Merasal Tab 30 mg                    
52927153,ACEI02,*Off Auto**(d) Acetin Inj 300 mg/3ml ( Fluimuci
52927986,MONT04,*(d) Monolin 20 SR cap                            
52928032,DALT02,*(d) **Dalacin Cap **300 mg                  
52928539,DALT02,*(d) **Dalacin Cap **300 mg               
52930037,MXLASTXPP,X - ALPINE / Xpedition / Sierra Peripheral Stent /
52933615,REVT01,*(d) Revatio Tab 20 mg                       
52934319,MAGI02,**Magnesium Sulfate10%Inj 10 ML*HAD*              
52934649,EBIL01,*(d) Ebixa 5mg/pump actuation-50ml           
52936930,MONI01,(ID)MoNem Inj 1 g                   
52939076,MXEYSA6023,SA 60 wf 23.0 Intraocular lens  /          
52941220,ASTT02,*(d) Astair Chewable 5 mg                    
52942981,DIAT13,Diano Tab 2 mg
52946956,DUOT01,*Off Auto**(d) Duocetz Tab
52946971,GALT02,*Off Auto**(d) GALvus Met Tab (50/1000)
52946986,JART02,*(c)*(d) Jardiance Tab 25 mg
52952356,SODI01,*(d) *Sodium Bicarbonate 7.5% Inj 50 ml           
52952371,SODI01,*(d) *Sodium Bicarbonate 7.5% Inj 50 ml      
52952596,FELT05,*(d) Felodipine Sandoz 10mg SR Tab           
52953632,COLI02,*(d) Colistin-150 Inj                             
52953634,RECI06,*(d) Recombinate Inj. 250 IU ED(2)               
52953635,RECI07,*(d) Recombinate Inj.500 IU ED(2)                
52953636,ALPI02,*(d) Alphanate Inj 500 IU ED(2)                  
52953647,ALPI01,Alphanate Inj 250 IU  ED(2)                      
52953651,RECI07,Recombinate  Inj.500 IU  ED(2)              
52958832,ALT003,Alterna Base Plate 50 mm [Colostomy]
52959481,GAVL01,*(d) Gaviscon Liquid 10 ml                   
52961870,HYDH01,HydroCHLOROthiazide Susp. 5mg/ml (60ml)   
52961871,HYDH01,HydroCHLOROthiazide Susp. 5mg/ml (60ml)
52968578,BETT08,*Off Auto*Betmiga Tab 50 mg                       
52968580,BETT08,*(c)Betmiga Tab 50 mg
52972036,OLAT01,Olapin-10 Tab 10 mg                       
52972037,OLAT01,Olapin-10 Tab 10 mg
52973712,UNAI01,*(d) Unasyn Inj 3 g                       
52973713,ALBI02,*(d) Albutein 25% 50 ml                   
52974033,DEXI03,*(d) D-5-S/2 1000 ml                         
52976279,MXVAACMIT,Circuit VA 4213-31 / /      
52983661,BEWT01,*(d) Bewel Tab 300 mg                        
52989361,SYME01,*(d) Symbicort(160/4.5) Turbuhaler 60 doses  
52993932,VITI12,*(s) Vitamin K1 10 mg/ml (ATC)
52994327,PENI07,(ID)Meropenem Inj 500 mg (PENEM M.H.
52994576,AETI01,*(d) Aethoxysklerol Inj 1% 2 ml                   
52996211,ABIT05,*(d) Abilify Dismelt Tab 10 mg               
53000516,BACE02,Nitrofurazone Oint. 0.2 w/w (Bactacin)            
53002557,MINE01,*(d) Minirin Nasal Sol 0.1 mg/ml (2.5 ml)    
53003974,ZINEX1,*(s) Zinc Oxide Paste 30 g
53006355,ATOT02,"xarator 40 mg ( , SMI=Atovastatin ( generic l"
53006359,ATOT02,"*(c)xarator 40 mg ( , SMI=Atovastatin ( gener"
53007278,OSET02,OSEni Tab 25/30 mg
53008592,QUI003,*(d) Tenckhoff Curl Catheter 57 cm(
53008789,MAFT05,*(d) Maforan Tab 4 mg *HAD*               
53010459,SERT05,*Off Auto*Seroquel Tab 25 mg
53010465,CART04,*Off Auto*Cardiprin-100 Tab
53010467,STAT14,*Off Auto*Stalevo 200/50/200 mg Tab               
53010548,KBA002,K-Band   10  cm x 4m                      
53010656,FYBL01,*(d) Fybogel 3.5 g                        
53010662,REGT01,*(d) Regpara Tab 25mg                     
53011983,LANE01,*(d) Lanotan Eye Drop 0.005% (2.5ml)              
53011985,CRAE01,*(d) Cravit Eye Drops 0.5% 5 ml                   
53015826,AMLT01,"*(r) Amlodipine 5 mg , ,SMI=(Amlodipine Besyl"
53015827,ANAT05,"*(r) Enalapril 20 mg , ,SMI=(Enalapril Maleat"
53016033,NELT01,*Off Auto**(d) Nelapine Cap 5 mg                  
53016752,SANI01,*(d) Sandimmun Inj 50 mg/ml                  
53017173,COL012,Stomadress Plus 19-64 mm (one-piece) (colostomy)
53019332,BCOT01,*(c)B CO-ED Tab  (Vitamin B Complex)
53020349,BONT02,*(r) Bonviva Tab 150 mg
53020350,ESPE02,*(r) Esperson Oint *50 g
53020351,HYDT05,*(r) Hydroxyzine-FC 10 mg ( Hizin)
53020352,LYRT01,*(r) Lyrica Cap 75 mg
53020353,MEDT01,*(r) Medi-Alpha Cap 0.25 mcg
53020354,METT03,*(r) Methycobal Tab 500 mcg
53020355,UREE01,*(r) Urea Cream 10% () 35 gm
53020670,SALT05,*(d) Salbutac Tab 2 mg                            
53023156,ISOT04,*Off Auto**(d) Isoptin SR Tab 240 mg
53025894,PENI08,Pen G Inj 5 mu (Penicillin G)                
53025895,PENI08,Pen G Inj 5 mu (Penicillin G)
53025910,PENI08,*(c)Pen G Inj 5 mu (Penicillin G)                 
53025913,PENI08,*(c)Pen G Inj 5 mu (Penicillin G)
53027785,FLUT04,Fluimucil-A   600   Tab                      
53028541,ACEI03,*(s) Acetar-5 1000 ml                     
53028542,ACEI03,*(s) Acetar-5 1000 ml
53029399,TEG008,*(d) Tegaderm I.V. CHILD (1622W) 4.4*4.4 cm  
53030158,DAFT04,*Off Auto*Dafiro Tab 5/160 mg                     
53030159,DAFT04,*(c)Dafiro Tab 5/160 mg                           
53030326,CLOI05,*Off Auto**(d) Cloxgen Inj 1 gm (GDH)
53039095,FEII01,Feiba NF 500 IU  ED(2)                           
53039618,DORT02,*(c)*(d) Dorner Tab 20 mcg                
53041400,FLUI05,*(d) Fludara IV 50 mg (X)F0007 *Chemo* *HAD*
53041450,KLOT01,*Off Auto**(d) Kloramin Tab 4 mg (CPM)
53042345,CLAI04,*(s) CLAraxim Inj 1 g
53042585,TAFE01,*(c)*(d) Taflotan 0.0015% oph soln-2.5ml
53042586,ALPE02,*(c)*(d) Alphagan-P 0.15% Eye Drop 5 ml
53045078,ATAT02,Atarax   TAB   25   MG
53046023,SIMI03,Simdax Inj 2.5 mg/ml  ( 5 ml )            
53047503,COL011,**Colostomy 1-piece (open bag) LC2000             
53047524,COL011,*(d) **Colostomy 1-piece (open bag) LC2000
53048872,ROSI01,*(s) ROsil Inj 600 mg/4 ml                
53049225,UFUT01,*(d) Ufur Cap (X)U0004 *HAD*                      
53049226,FOLT03,*(d) Folina for UFUR Tab 15 mg (X)F0030           
53051084,CLOI05,*(c)*(d) Cloxgen Inj 1 gm (GDH)           
53051100,SODI01,*Sodium Bicarbonate 7.5% Inj 50 ml                
53051101,SODI01,*Sodium Bicarbonate 7.5% Inj 50 ml
53054835,RITI02,Rituximab Inj 100 mg/10ml (NHSO/) (X)M00021   
53063469,D5SI07,D-5-S/2  1000  ml                         
53068501,BRIT03,"Ticagrelor Tab 90 mg ( , SMI=Ticagrelor)"
53069255,CHLC01,*(d) Chloral hydrate 500 g                
53069258,CHLC01,*(d) Chloral hydrate 500 g
53069259,CHLLX1,CHLORALHydrate 50 mg/ml (30ml)()         
53071624,OSEH02,*(d) Oseltamivir Susp. 15 mg/ml (30ml)    
53073088,SOLI03,Solu-MEDrol Inj   125 Mg
53073663,VALT06,*(d) Valatan Tab 160 mg                   
53079534,MEDI01,*(s) Medizole Inj 500 mg/100ml
53081969,GRAT01,*(d) Gracevit Tab 50 mg                      
53085812,FERT01,*(c) FerLi - 6 Tab
53087596,ALT003,Alterna Base Plate 50 mm [Colostomy]      
53087597,ALT004,Alterna 2-PC Open Bag  50 mm  [Colostomy] 
53088960,ACEI01,*(s) Acetar 1000 ml
53095779,CIPI02,*Off Auto**(d) Ciprobay INJ. *400 mg/200 ml       
53095802,CIPI02,*Off Auto**(d) Ciprobay INJ. *400 mg/200 ml
53101675,MINE01,"*(d) Minirin Nasal Drop, ol 0.1 mg/ml (2.5 ml)"
53102647,NELT02,*(d) Nelapine Cap 10 mg                           
53103116,SENT02,*(s) Senolax Tab                                  
53103761,XYLE02,*(d) Xylocaine 10% Spray 50 ml               
53104737,DURE01,Duratears Eye Oint 3.5 g                     
53105920,ATAT02,*Off Auto**(d) Atarax TAB 25 MG                   
53106594,FLUT04,Fluimucil-A   600   Tab
53106954,MXEYTFZ205,Tecnis ZA9003 20.5 Intraocular lens  /
53112154,EXJT02,*(d) Deferasirox Tab 250 mg (NHSO/) ED(2)
53116280,MXXY90GMS,Y90 Microspheres []/            
53116848,DIUT01,*Off Auto**(d) Diutropan Tab 5 mg            
53118750,MXMCC1215S, Accu Check Performa  /Roche /
53120082,BERL01,*(d) Beramol*SYR*60 ml (120mg/5ml)   
53124478,GENI05,Getamic Inj 80mg/2ml (amp)                        
53126953,CEFI08,*(s) CefXitin Inj 1 g
53126954,ARCT03,*(s) Arcoxia *Tab* 120 MG
53126955,LYRT01,*(s) Lyrica Cap 75 mg
53127291,DAFT04,*(d) Dafiro Tab 5/160 mg                     
53128586,SIMI01,*(s) Simulect Inj 20 mg
53128587,UNAI01,*(s) Unasyn Inj 3 g
53128588,ALBI01,*(s) Albutein 20% 50 ml
53128589,ALBI05,*(s) Albutein 5% 250 ml
53128590,HEPT01,*(s) Hepacap Cap
53128593,URST02,*(s) Ursolin Cap 250 mg
53129094,MICI01,Micafungin Inj 50 mg (NHSO/)  ED(2)
53132041,CHLL01,*(d) ChlorpheniramineSyr(2mg/5ml)60ml        
53137089,COL012,Stomadress Plus 19-64 mm (one-piece) (colo
53138034,MXSTAUC45D,***TA45 [UC] //                 
53143817,EURT01,*(d) Eurartesim Tab 320/40 mg
53144400,XAME01,*(d) Xamiol Gel 15 g
53146749,MIDI01,*(s) Midazolam Inj 15 mg/3 ml *HAD*          
53146974,INSI01,"*(s) Insulatard HM Inj1,000 U/10 ml (NPH)"
53148455,DOPT02,*(d) Dopsan-100 Tab                               
53150598,RUPT01,*(d) Rupafin Tab 10 mg                       
53152136,CHLLX1,*(d) CHLORALHydrate 50 mg/ml (30ml)()    
53152342,SODT01,*(s) Sodamint Tab 300 mg
53152343,FURT03,*(s) FuRetic Tab 500 mg
53153695,SODI01,*(d) *Sodium Bicarbonate 7.5% Inj 50 ml   
53157175,OLII02,*(d) OliClinomel Cental N7-1000E (1.5L)      
53160369,KABI01,*(s) Kabiven PI 1000Kcal 1440 ml
53160371,ULCL02,*(s) Ulcefate Susp 240 ml (1 gm/5ml)
53160372,CIFI01,*(s) Cifloxin IV 200 mg/100 ml
53160375,KCLI01,*(s) KCL Inj 20 meq *HAD*
53160728,IRII01,*(d) Irinotel Inj 40 mg (X)I0013 *Chemo* *HAD*
53162041,MXMALVA75S,Allevyn [ Ag ] Foam 10 x10 cm.&/
53162260,FLIE02,Flixotide 125mcg Evohaler                 
53162437,SODT01,*(r) Sodamint Tab 300 mg
53162438,RECI02,"*(r) Recormon PFS 5,000 IU ED(2)"
53162439,CLOE01,*(r) Clobet Cream 10 g
53162440,TRAT08,*(r) Trajenta 5mg Tab ()
53162441,MIRT02,*(r) Miracid Cap 20 mg(Omeprazole)
53162442,MADT03,*(r) Madiplot Tab 20 mg
53162443,LORT03,*(r)  LoRANTA Tab 50 mg
53162444,FOLT02,*(r) Folivit Tab 5 mg
53162445,DUPL02,*(r)  Duphalac 1000ml
53162446,CART08,*(r)  Caraten-25 Tab
53162447,BONT04,*(r) Bon-One Tab 0.5 mcg
53162448,ATOT02,*(r) Atorvastatin Tab 40 mg (SANDOZ FCT)
53162449,APRT03,*(r) ApreSOLIN Tab 25 mg
53163509,TEAE02,*(r)  Tears Naturale Free ED0.8m l(32s)
53163510,TERE01,*(r)  TerRamycin Opht Oint 3.5 g
53163511,VIDE01,*(r)  Vidisic Gel 10 g
53163864,ESPE02,*(d) Esperson Oint *50 g                     
53164461,BANE01,*(s) BANbact Oint 5 gm
53165678,DEXH01,*(d) 0.05% Dexa Eye Drop (10ml)              
53166348,OXAI02,*(d) Oxalip Inj 150 mg/30 ml (X)O0016*Chem
53167503,BIST03,*(d) Bisloc Tab 2.5 mg                            
53167505,METEX5,*(d) Methylsalicylate Oint () 30 gm        
53167509,SOPT01,*(d) Sopmil (Verapamil) Tab 40 mg                 
53167511,SERE07,*(d) *Seretide Evohaler 25/125                    
53174331,TYLT03,*(s) Tylenol 8 hour Caplet 650 mg                 
53174969,PURT03,*(d) Purinetone Tab 50 mg (X)P0041 *HAD*          
53174972,EMTT01,*(d) Emthexate Tab 2.5 mg *HAD*                   
53177396,AMPH01,*(d) Amphotericin B Eye Drop 0.15% (10ml)    
53180558,FOLT02,"*(r) Folic acid 5 mg , ,SMI=(Folic Acid) "
53183399,DIXI01,*(s) Dixin inj 0.5 mg/2 ml                        
53183644,ROST04,*(c)*(d) Rosuvastatin Tab 20 mg
53184261,CAMI02,*(d) Campto Inj 100 mg (X)C0007*Chemo* *HAD*
53184262,CAMI01,*(d) Campto Inj 40 mg (X)C0006 *Chemo* *HAD*
53185717,,"*(r) Lioresal 10 mg , ,SMI=() "
53185718,,"*(r) Neurontin 300 mg , ,SMI=() "
53185719,ANAT03,*(r)  ANapril Tab 5 mg
53185720,MIRT02,"*(r) Miracid 20 mg , ,SMI=(Omeprazole) "
53189487,TYLT03,*Off Auto**(d) Tylenol 8 hour Caplet 650 mg       
53189507,TYLT03,*Off Auto**(d) Tylenol 8 hour Caplet 650 mg
53191550,,"*(r) Dilantin 100 mg , ,SMI=()          "
53191551,,"*(r) Vitamin b 1-6-12 , ,SMI=() "
53191552,FOLT02,"*(r) Folic 5 mg , ,SMI=(Folic Acid) "
53191553,NOOT01,"*(r) Piracetam 800 mg , ,SMI=(Piracetam) "
53198504,ASTT02,*(c)*(d) Astair Chewable 5 mg
53207502,MXEYTFZ230,Tecnis ZA9003 23.0 Intraocular lens  /
53207727,FILI01,*(d) Filgen 300 mcg PFS(X)F0020                   
53208204,FENE03,Fentanyl () 50 mcg/hr *HAD*           
53208917,CHLEX2,*(d) Chlorhexidine Mouth Wash 450 ml              
53210463,MONI01,(ID)MoNem Inj 1 g           
53210512,VFET03,Voriconazole Tab 200 mg () ED(2)
53210529,MONI01,(ID)MoNem Inj 1 g
53214188,PREI03,*(s) PREPEnem Inj 500 mg                     
53214924,PORT01,*(d) Porazine Tab 4 mg                    
53214966,FURT01,"*(r) Furosemide 40 mg , ,SMI=(Furosemide(gene"
53218819,FLUL01,*(c)*(d) Fluimucil 100 mg
53221332,UNIE02,Unison Enema    *100   ML
53222200,MXEYSA6023,SA 60 wf 23.0 Intraocular lens  /
53223116,DACI04,*(d) Dactinomycin Inj 0.5 mg (X)D0045*Chem
53223795,MXCCMCTPM,[UC]Corsair Microcath. [Coronary] 135/150 cm /
53228024,VFEI02,Vfend Inj. 200 mg () ED(2)           
53232967,QBAC01,Q-BAC 2A (60ml)                           
53232968,QBAC01,Q-BAC 2A (60ml)
53242087,QUAT01,"*Off Auto*Quetiapine 25 mg ( , SMI=Quetiapine"
53242088,NEUT09,"*Off Auto*memantine 10 mg ( , SMI=Memantine H"
53242096,ARIT03,*(c)*(d) *Aricept Tab 10 mg
53242100,QUAT01,"*(c)Quetiapine 25 mg ( , SMI=Quetiapine fumar"
53242101,NEUT09,"*(c)memantine 10 mg ( , SMI=Memantine HCl  (g"
53244554,EUTT02,*Off Auto**(d) Euthyrox Tab 100 mcg       
53251047,INVT03,*(d) Invega Tab 6 mg                         
53253248,GLIT03,Glivec Tab 400 mg  (X)G0004  ED(2)       
53253250,GLIT03,Glivec Tab 400 mg  (X)G0004  ED(2)
53260461,MERI01,(ID)MeRonem Inj 1 g                 
53261987,WHIEX4,*(s) White Vaseline 50 g
53262997,COMT07,*(d) Comtan Tab 200 mg (pack)            
53263946,ASTI01,*(s) Astaz-P Inj 4.5 g
53268712,CORI01,*(c)*(d) CorDARONE *Inj 150 mg/3 ml
53273695,KETH01,Ketoconazole Eye Drop 2% (10ml)              
53282314,FLUL01,*(d) Fluimucil 100 mg                     
53282804,MXXZPTABC,[UC]X-Zenith PTA Coda Balloon/Cook/              
53283303,DROI01,*(s) Drocanil-A 2% Inj 20 ml              
53283304,LIDI02,*(s) Lidocaine HCl Inj 2% 20 ml                   
53284297,CAPE02,*(d) Capsika-25 gel 100 gm                        
53284298,BCOT01,*(d) B CO-ED Tab (Vitamin B Complex)              
53285003,MORI01,*(s) Morphine Sulfate Inj 10 mg *HAD*        
53289474,MXSPXBMTM,Pacific Xtreme Balloon 0.018 / /        
53289634,MXCECM2MQ,Ecmo2  / / 
53291078,FLEI01,*(d) Flebogamma DIF 5% IV 2.5 g/50 ml (X)F0037 ED
53293485,CALH01,*(d) Calcium Susp. 50 mg/ml (48ml)        
53294144,SIXT01,*(s) Sixime Cap 100 mg
53294415,,"*(r) Aspirin 81 mg , ,SMI=() "
53294416,BEST01,"*(r) Simvastatin 20 mg , ,SMI=(Simvastatin (g"
53296677,MXXPPBLIDB,[UC]X-Passeo peripheral balloon+ Indeflato
53297573,USPT01,*(d) U-SPA Tab 100 mg
53301454,ADRI02,*(d) **Adriblastina Inj 10 mg (X)A0006*Che
53302886,PENI08,*Off Auto**(d) Pen G Inj 5 mu (Penicillin G)      
53302891,PGSI02,**P.G.S.   5   mu  (Penicillin G)         
53302892,PGSI02,**P.G.S.   5   mu  (Penicillin G)
53307944,FLUT10,*(d) Fluimucil - A Tab 600 mg (GMC)       
53308001,AIRT01,*Off Auto**Off Auto**(d) Air-X Tab           
53309422,TOFT01,*(d) Tofago Tab                              
53309465,COVT02,*(d) Coversyl Arginine Tab 5 mg           
53312312,XYLE01,*(d) Xylocaine Jelly 2% 30 g                      
53313549,MXEYTFZ265,Tecnis ZA9003 26.5 Intraocular lens /     
53313556,MXEYTFZ265,Tecnis ZA9003 26.5 Intraocular lens /
53315299,NEUT07,*Off Auto**(d) **Neurontin Cap 100 mg             
53320470,ASPT04,*(s) Aspent TAB 300 MG
53320857,APRT03,*(c)*(d) *ApreSOLIN Tab 25 mg
53322346,HILT01,*(d) Hilazin Tab 25 mg ( Apresoline)   
53322348,HILT01,*(d) Hilazin Tab 25 mg ( Apresoline)
53325125,MXLJBLPAQ,[UC] Peripheral Balloon [Maxi LD] /      
53325127,MXLJBLPAQ,[UC] Peripheral Balloon [Maxi LD] /
53326701,NEUT09,*(c)*(d) Neumantine Tab 10 mg
53333157,HILT01,*(c)*(d) Apresoline Tab 25 mg (Hilazin)
53333944,ESBI01,*(d) Esbloc Inj 100mg/10ml (Esmolol)         
53333947,COMT07,*(c)*(d) Comtan Tab 200 mg (pack)
53334422,ASTI01,*(s) Astaz-P Inj 4.5 g                    
53334426,UREEX2,*(s) Urea Cream 10% 30 g (  )         
53334427,TYSL01,*(s) Tystatin Oral Susp 12 ml             
53336432,HILT01,*(c)*(d) Hilazin Tab 25 mg ( Apresoline)
53336997,DIPE01,*(d) Diprosalic Oint 5 g ()              
53339575,,"*(r) Lorazepam 1 mg , ,SMI=() "
53339576,ASPT01,"*(r) Aspirin 81 mg , ,SMI=(Acetylsalicylic ac"
53339577,GABT03,"*(r) Gabapentin 300 mg , ,SMI=(Gabapentin (G."
53339578,LORT03,"*(r) Losartan 50 mg , ,SMI=(Losartan potassiu"
53339580,THIT04,"*(r) Vitamin B1 100 mg , ,SMI=(Thiamine (V"
53339581,ZIMT01,"*(r) Simvastatin 10 mg , ,SMI=(Simvastatin) "
53339768,MXSSKSTJJ,Skin Stapler
53340479,GENI05,Getamic Inj 80mg/2ml (amp)                   
53340480,GENI05,Getamic Inj 80mg/2ml (amp)
53340492,GENI05,*(c)Getamic Inj 80mg/2ml (amp)                    
53340707,MXSPCS201B,Celsite Port ST201 [Ac0cess port] / 
53340715,MXSAMBPFK,Ambix Intraport T Powerflow /Fresenius            
53341020,HILT01,*(d) Apresoline Tab 25 mg (Hilazin)               
53341392,NASE02,*(d) NaSONEX 0.05% nasal spray (140 doses)   
53341723,PRET06,"*(r) Atenolol 50 mg , ,SMI=(Atenolol) "
53343467,MABI02,*(d) Mabthera 500 mg/50 ml (X)M0002
53343568,KAME03,*(d) Kamillosan M Spray 20 ml                     
53344732,HMII01,*(s) H-mide Inj 250 mg/25 ml
53346262,MECT01,*Off Auto**(d) Mecoba Tablet 500 mcg              
53346286,,"*(r) Berodual Inhaler , ,SMI=() "
53346287,,"*(r) Seretide 25/250 , ,SMI=() "
53346288,AMLT01,"*(r) Amlopine 5 mg , ,SMI=(Amlodipine Besylat"
53346289,ASPT01,"*(r) Aspent-m 81 mg , ,SMI=(Acetylsalicylic a"
53346290,ATOT02,*(r)  Atorvastatin Tab 40 mg (SANDOZ FCT)
53346291,BACT01,"*(r) Baclofen 10 mg , ,SMI=(Baclofen(generic "
53346292,BCOT01,"*(r) vitamin B complex , ,SMI=(Vitamin B comp"
53346293,DEPT03,*(r)  Depakine Chrono CR Tab 500 mg
53346294,GABT03,*(r)  Gabapentin Cap 300 mg (G.P.O.)
53346295,MECT01,*(r)  Mecoba Tablet 500 mcg
53346296,MONT05,"*(r) Montelukast 10 mg , ,SMI=(Montelukast So"
53346304,,"*(r) Gaba 600 mg , ,SMI=() "
53347457,VALT05,*Off Auto**(d) Valatan Tab 80 mg                  
53350671,CRU022,*(d) CRUTCH Adjust Size M (/)         
53355154,HILT01,*(d) Apresoline Tab 25 mg (Hilazin)          
53355719,DESI01,*Off Auto**(d) Desferal Inj 0.5 g                 
53357160,SPEI01,*(d) Speeda Inj (CPRV)                       
53357980,MXXRDCBBS,[UC]Ranger Drug Coated Balloon /  /   
53357982,MXXRDCBBS,[UC]Ranger Drug Coated Balloon /  / 
53358927,ZEFI02,*Off Auto**(d) Zefa Inj. 1gm              
53360805,PENI04,Pentaglobin Inj 2.5 gm /50 ml **  (X)P003
53360820,PENI04,Pentaglobin Inj 2.5 gm /50 ml **  (X)P0038       
53361879,RECI02,"*(d) Recormon PFS 5,000 IU ED(2)                 "
53361974,COL100,Coloplast Barrier Cream 60 ml                
53363244,MXOCFFBNV,Comfort Form Back /                  
53369919,SWIL02,*(d) Swiff Sol 45 ml                              
53381052,PENI08,*Off Auto*Pen G Inj 5 mu (Penicillin G)           
53382029,FLUT05,*(s) Flucozole CAP. 200 MG.
53382390,EPHI01,*(d) Ephedrine HCl *INJ 30 mg/ml *HAD*       
53385795,MXCCOE,CCO/SV02 swanganz /              
53385796,MXCITDC623,Arrow Multilumen Access Catheter / IDS /    
53386790,LORT03,*(s) LoRANTA Tab 50 mg                            
53387846,ZEMT01,*(c)*(d) Zemiglo Tab 50 mg
53388339,APRT03,*Off Auto**(d) *ApreSOLIN Tab 25 mg               
53388374,DOXT01,*Off Auto**(d) Doxyclate Cap 100 mg
53391791,MXMBTRFGBP,Bacteria Filter
53392866,SULI02,*(d) Sulcef Inj 1 g                          
53392895,MCTL03,*(d) MCT Oil 60 ml                           
53392926,MXSGTP2SI,Gore tex Patch []  0.4 /0.6 /0.8 m
53397510,ASME01,*(s) Asmasal SDU (2.5 mg / 2.5 ml)
53403569,HYCI01,*(d) Hycamtin Inj 4 mg (X)H0006 *Chemo* *HAD*
53406050,MXXRSGBM,[UC]X-Reliant stent graft balloon cath.[peripheral
53414212,EXEE01,*(d) Exelon patch 10 (9.5 mg/24 hr)       
53414216,ZOLT01,*(d) Zoloft Tab 50 mg                     
53415343,DOXT01,*Off Auto*Doxyclate Cap 100 mg                    
53416821,MXRKY903PU,[UC] KY 903 GC / Pop Medic /                
53418649,PARI01,*Off Auto**(d) Paracetamol Inj 300 mg/2ml
53420224,ZOMI01,*(d) Zometa Inj 4 mg (X)Z0010
53421193,JART02,*(d) Jardiance Tab 25 mg                     
53421255,AMBI01,*(d) Ambisome Inj 50 mg ED(2)
53424906,HILT01,*Off Auto**(d) Apresoline Tab 25 mg (Hilazin)     
53428508,COM001,Comfeel plus ulcer 20x20cm (hydrocolloid dressing)
53429243,ADRT02,*(r) Advagraf Cap 1 mg
53429244,ISOT04,*(r) Isoptin SR Tab 240 mg
53429245,MYFT02,*(r) Myfortic Tab 360 mg
53429246,PRET05,*(r) Prednisolone Tab 5 mg (Predsomed)
53429247,XART04,*(r) XARAtor Tab 40 mg ( lipitor)
53429248,ZANT01,*(r) Lercadip Tab 20 mg
53429426,TSOT02,*(d) TS-One Cap 20 mg *HAD*
53432926,GAST03,*(d) *(d) Gasmotin 5mg Tab
53434440,SERE07,*(d) *Seretide Evohaler 25/125               
53437242,VALT06,*Off Auto**(d) Valatan Tab 160 mg                 
53437259,AMAT04,*(c)*(d) Amaryl M SR Tab (2 mg/ 500 mg)
53437296,VALT06,*(c)*(d) Valatan Tab 160 mg               
53438489,TRAT05,*(d) Tramal * Retard TAB 100 mg              
53440449,MYCI01,Mycamine Inj 50 mg   ED(2)                       
53440450,MYCI01,Mycamine Inj 50 mg   ED(2)
53440453,GLYI04,*(d) *Glypressin Inj 1 mg
53445275,MXXPBVPSVI,[UC]Armada 14/18 /Fox SV /Viartrac peripheral ball
53445277,MXXPBVPFSV,[UC]Armada 14/18 /Fox SV /Viartrac peripheral ball
53446169,AMLT02,"*(r) Amlodipine 10 mg , ,SMI=(Amlodipine Besy"
